text_1	text_2	class
Совет юстиции Бразилии легализовал однополые браки.	Совет юстиции Бразилии разрешил однополые браки.	1
"""Магнит"" поручится перед ""Абсолют Банком"" за кредит до 3,2 млрд руб."	Выпуск сигарет в России упал из-за антитабачного закона.	-1
ЕС призвал США не бомбить Сирию до публикации доклада ООН.	Евросоюз призвал США дождаться доклада ООН по Сирии.	-1
Депо Московского метрополитена впервые перейдет в частные руки.	Частной компании впервые отдадут депо в московском метро.	1
Два человека погибли в столкновениях между курдами в Турции	Один человек погиб при столкновении судов у берегов Италии	-1
Билалов продаст долю в «Красной поляне» в интересах Сбербанка.	"Михаила Гуцериева вывели на ""Красную Поляну""."	-1
В Сыктывкаре может пройти первый разрешенный в России гей-парад.	"""Роснефть"" закрылась в Лондоне."	-1
Половина земель на Кубани подготовлена к севу озимых.	Дешевых денег много не бывает.	-1
На Украине демонтируют мемориальную доску Иосифу Кобзону	Иосиф Кобзон назвал ерундой снятие мемориальной доски в Донбассе	-1
Задержанные в Германии байкеры продолжили мотопробег	В Германии задержан байкер «Ночных волков»	-1
Путин: поставки Израилем оружия на Украину будут контрпродуктивны	Президент России допустил поставки израильского оружия на Украину	-1
Белгородского стрелка ищут на Украине и в Черноземье.	Бегство «белгородского стрелка» на Украину опровергли.	-1
В Гостином дворе Киева произошел пожар.	В Киеве произошел пожар в Гостином дворе.	1
В Париже расстреляли трех курдских активисток.	В Париже застрелены три курдских активистки.	1
Убийство московского чиновника в Орле было заказным.	Убийство московского чиновника в Орле признали заказным.	1
"Сотрудники карельского музея ""Кижи"" выступили против нового руководства."	Сотрудники музея «Кижи» выступили против назначения нового директора.	1
Банк России приступил к проверке БПФ.	ЦБ начал проверку Банка проектного финансирования.	1
Ректор КубГАУ выразил соболезнования родным и близким Н.Кондратенко.	Скончался бывший губернатор Краснодарского края Николай Кондратенко.	-1
Требовательность Путина огорчила президента Литвы.	Все грани неравенства - Когда социальное расслоение способствует экономическому росту.	-1
Новым президентом Грузии официально стал Георгий Маргвелашвили.	После выборов перед выбором.	-1
Мировые цены на нефть замедлили снижение	Мировые цены на нефть снизились с четырехмесячных максимумов	-1
"СМИ: Новым куратором ""Сколково"" станет А.Фурсенко."	Фурсенко стал куратором «Сколково».	1
Уровень воды в Амуре у Хабаровска превысил исторический максимум на метр.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
Четыре человека погибли в Непале в результате землетрясения	Число жертв землетрясения в Непале составило почти 900 человек	-1
Лидер талибов запретил похищать людей ради выкупа.	Лидер «Талибана» запретил похищать людей ради выкупа.	1
Землетрясение магнитудой 5,5 произошло у побережья Калифорнии	В Индонезии произошло землетрясение магнитудой 5,0	-1
МККК: Красному Кресту не дают доставить гумпомощь в центральный Йемен	Красному Кресту не разрешили доставить гуманитарную помощь в Йемен	1
На крупнейшем в мире медном руднике началась забастовка.	Население допустят к кредитам.	-1
"""Протон-М"" с тремя спутниками ГЛОНАСС взорвался в прямом эфире."	«Протон-М» с тремя спутниками ГЛОНАСС взорвался после старта.	-1
Путин выразил глубокие соболезнования родным Плисецкой	Полтавченко выразил соболезнования в связи с кончиной Майи Плисецкой	-1
Число погибших в результате землетрясения в Непале возросло до 565	Число жертв землетрясения в Непале превысило 800 человек	-1
Глава ВТБ ожидает, что Э.Набиуллина улучшит работу Центробанка.	Российская реклама не вышла ростом.	-1
АФК «Система» продала свою долю в «РуссНефти» за 1,2 млрд долл.	«Система» продала половину «Русснефти» за 1,2 миллиарда долларов.	1
Депутатам Госдумы задерживают повышенную зарплату.	Депутатам задерживают повышенную зарплату.	1
ФСИН: 15 человек госпитализированы после драки в нижегородской колонии	Один человек скончался после беспорядков в нижегородской колонии	-1
В больницах после терактов в Волгограде находятся 72 человека.	Очевидцы рассказали о взрыве на вокзале Волгограда.	-1
В Кирове начался суд над А.Навальным.	Сторонники Навального собрались у здания суда в Кирове.	-1
Украинские силовики пошли на провокацию в Донбассе	Лавров призвал ОБСЕ повлиять на действия украинских силовиков в Донбассе	-1
В Госдуме отказались проверять имущество единоросса А.Исаева.	Комиссия Госдумы отказалась проверять имущество единороса Исаева.	1
Жерар Депардье прибыл в Сочи за российским паспортом.	Депардье прилетел в Сочи за российским паспортом.	1
Пираты освободили корабль, захваченный в Гвинейском заливе.	Пираты освободили захваченное у берегов Камеруна судно.	1
В Госдуме предлагают запретить дистанционную продажу кредитных карт.	В Госдуме опровергли запрет на дистанционную продажу кредиток.	-1
Заразных больных в палаточном лагере мигрантов Роспотребнадзор не нашел.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Китайским чиновникам запретили курить в общественных местах.	Китайским чиновникам запретили курить на людях.	1
На строительном рынке в Москве произошел пожар.	Масштабный пожар на строительном рынке в Москве потушили.	-1
"Правительство ФРГ рассчитывает на благоразумие ""Ночных волков"""	"Власти ФРГ аннулировали визу ""Ночного волка"" Юрия Васильева"	-1
Повстанцы казнили похищенного депутата сирийского парламента.	Повстанцы казнили депутата сирийского парламента.	1
Пакет с белым порошком найден в посольстве Индонезии в Канберре	В посольство Индонезии в Австралии прислали конверт с белым порошком	-1
Газпром потеряет 130 млрд руб. на тарифной инициативе В.Путина.	«Газпром» потеряет 130 миллиардов рублей из-за низкого роста тарифов.	-1
Сотрудника Reuters обвинили в работе на хакеров из Anonymous.	Сотрудника Reuters обвинили в сотрудничестве с хакерами Anonymous.	1
Президент Венесуэлы подарил дом женщине, кинувшей в него плодом манго	Президент Венесуэлы подарил кинувшей в него манго женщине дом	1
Буксир с 12 российскими моряками задержан за долги в китайском порту	В китайском порту из-за долгов застрял буксир с российскими моряками	1
"""Прогресс-М27М"" со знаменем Победы запущен к МКС с Байконура"	"С космодрома Байконур стартовал ""Прогресс"" со знаменем Победы"	1
На пляжах Гоа запретили спиртное.	На пляжи Гоа запретили приносить алкоголь.	1
На серой ветке столичного метро произошел сбой в движении поездов.	Движение поездов на «серой» линии московского метро восстановлено.	-1
УМВД: житель Белгорода украл 14 железнодорожных вагонов и продал их	Житель Белгорода задержан за кражу 14 железнодорожных вагонов	-1
"Прокуратура хочет закрыть ""дело Бетанкур"" в отношении Н.Саркози."	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
Умер самый быстрый итальянец мира.	Самый быстрый итальянец.	-1
СМИ сообщили о проигрыше «Нафтогаза» в споре на четыре миллиарда долларов.	«Для отстранения от должности обыски и допросы точно не нужны».	-1
Энрико Летта сформировал итальянское правительство.	Энрико Летта сформировал правительство Италии.	1
Соперники Назарбаева проголосовали на выборах президента Казахстана	Эксит-поллы показали абсолютное лидерство Назарбаева на выборах в Казахстане	-1
"Шойгу: Украина - крупнейшая трагедия в череде ""цветных революций"""	"Сергей Шойгу: Украина - крупнейшая трагедия в серии ""цветных революций"""	1
"Взорвавший ""Невский экспресс"" террорист скончался в колонии."	Подрывник «Невского экспресса» умер в колонии.	1
Авиакатастрофа в Перу унесла жизни семи человек.	При крушении вертолета в Перу погибли семь человек.	1
Сергею Филину в Большом театре нашли временную замену.	В Большом театре нашли временную замену Филину.	1
Непогода сорвала генеральную репетицию авиасалона МАКС-2013.	Генеральную репетицию полетов на МАКС-2013 отменили из-за плохой погоды.	1
СМИ: Власти просят жителей Крымска вернуть часть компенсаций.	От жителей Крымска потребовали вернуть часть материальной помощи.	1
"Умер ""отец"" гаражного рока Рег Пресли из The Troggs."	Умер вокалист группы The Troggs Рег Пресли.	1
"""Снежную битву"" в Петербурге вновь запретили."	"В Санкт-Петербурге повторно запретили ""Снежную битву""."	1
Число погибших в результате землетрясения в Непале выросло до 449	МЧС: Россиян нет среди погибших в результате землетрясения в Непале	-1
Президент заявил, что российских войск на Украине нет	В Госдепе сообщили о наличии российских войск на востоке Украины	-1
Кремль опроверг необходимость нового контракта с Ираном на поставку С-300	Обама рассказал об удивлении из-за задержки с поставками Ирану С-300	-1
Обвинение попросило суд смягчить приговор Сильвио Берлускони.	Прокурор попросил смягчить приговор Берлускони.	1
Главный аэропорт Рима закрыт из-за пожара в терминале	Причиной пожара в аэропорту Рима стало короткое замыкание	-1
"Экс-сотрудник ""Города без наркотиков"" задержан в Екатеринбурге."	В Екатеринбурге задержан экс-сотрудник «Города без наркотиков».	1
В Шереметьево из-за обледенения полосы задержаны десятки рейсов.	Корейский лайнер задержал вылет рейсов из «Шереметьево».	-1
Асад: самыми опасными лидерами ИГ в Сирии являются скандинавы	Асад назвал скандинавов самыми опасными лидерами ИГ	1
На севере Египта совершена атака на полицейский участок.	В Египте при нападении на полицейский участок пострадали 17 человек.	-1
В Орле звучат взрывы на загоревшемся складе пиротехники	МЧС: ликвидировано открытое горение на складе пиротехники в Орле	-1
Связь с космическим кораблем «Прогресс» восстановлена	Корабль «Прогресс» признают космическим мусором	-1
Киприоты могут выдохнуть: власти отказались от идеи налога на депозиты.	Кабмин Кипра: Для спасения острова разрабатывается альтернативный план.	-1
На пути к 1500 пунктам российский рынок возьмет паузу.	Глава Верховного суда России попал в ДТП в Гане.	-1
Дмитрий Медведев выйдет в прямой эфир.	Медведев прорекламировал Yotaphone в прямом эфире.	-1
В США умер нобелевский лауреат Кеннет Вильсон.	Скончался нобелевский лауреат Кеннет Вильсон.	1
Сбербанк отказывается принимать чеки American Express.	Сбербанк откажется от чеков American Express.	1
Уголовное Дело возбуждено по факту ДТП в Тюменской области	Против губернатора Сахалинской области возбудили новое уголовное дело	-1
Россия запретила ввоз арахиса из США	Россельхознадзор запретил импорт арахиса из США	1
За покушение на саратовского депутата посадили только одного из фигурантов дела.	"""Наличность трудно считать, а еще труднее контролировать"" - Как менялось отношение граждан и банков к наличным."	-1
"В Москве завершился ""Марш против подлецов""."	"В Москве начался ""Марш против подлецов""."	-1
Начальник полиции Нурлатского района РТ отстранен после хулиганских драк в городе.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
"Вице-президент фонда ""Сколково"": Оплата лекций Ильи Пономарева законна."	На вице-президента «Сколково» завели дело за контракт с Ильей Пономаревым.	-1
В Париже умерла правозащитница Наталья Горбаневская.	Правозащитница Наталья Горбаневская скончалась в Париже.	1
"Цонга впервые вошел в четверку лучших игроков ""Ролан Гаррос""."	Северная и Южная Кореи договорились о переговорах.	-1
Во Владикавказе убит заместитель прокурора района.	Берлускони вызвали в суд по делу о подкупе сенатора.	-1
В Эритрее произошла попытка государственного переворота.	В Эритрее произошла попытка военного переворота.	1
Новые комиксы о пророке Мухаммеде появились во Франции.	Во Франции издали комикс по мотивам жизни пророка Мухаммада.	1
Тиньков вернется в пивной бизнес.	Олег Тиньков вернулся за пивом.	-1
С канатной дороги в Крыму эвакуированы все 34 россиянина.	Застрявшим на канатной дороге в Крыму выплатят компенсации.	-1
"В Минобороны России не удивятся новым ""разоблачениям"" Госдепа США"	В Минобороны объявили о начале гибридной войны США против России	-1
Год с В.Путиным: россияне рассказали о главных достижениях президента.	"""ПрофМедиа"" не держится за пост."	-1
"На ""Казань-Арене"" началась подготовка к укладке футбольного газона."	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Неизвестный открыл огонь в бизнес-школе штата Миссури.	В Сент-Луисе преступник открыл огонь в бизнес-школе.	1
Премьер Киргизии решил «стряхнуть власть» и ушел в отставку	Президент Киргизии пока не принял отставку премьер-министра	-1
Число погибших в Индии после землетрясения в Непале превысило 50	Число погибших в Непале превысило 2,2 тысячи	-1
"""Бой идет не ради славы"": В Москве открыли памятник А.Твардовскому."	В Москве открыли памятник Твардовскому.	1
Мосгоризбирком утвердил итоги выборов мэра.	Мосгоризбирком утвердил результаты выборов мэра.	1
МЧС: вертолет Ми-8 совершил жесткую посадку в горах на Камчатке	На Камчатке эвакуированы экипаж и пассажиры вертолета Ми-8	-1
СМИ: скончалась балерина Майя Плисецкая	Умерла Майя Плисецкая	1
Число жертв урагана в Пакистане достигло 37, более 200 человек ранены	До 44 человек увеличилось число жертв урагана в Пакистане	-1
СМИ: премьер Японии не приедет в Москву на празднование 9 Мая	СМИ узнали об отказе японского премьера посетить Москву 9 Мая	1
Сильное землетрясение магнитудой 7,4 произошло в Непале	В столице Непала разрушены дома из-за подземных толчков магнитудой 7,4	-1
Четыре человека погибли в Непале в результате землетрясения	СМИ сообщили о более 150 погибших в результате землетрясения в Непале	-1
В Албании и оппозиция, и правящая партия объявили о победе на выборах.	Французские правые померялись силами.	-1
Газпромбанк вслед за понижением ставки ЦБ снизит ставки по вкладам	Порошенко пообещал воевать до тех пор, пока не вернет Крым и Донбасс	-1
Путин: Российских войск на Украине нет	Путин пообещал, что войны с Украиной не будет: мы один народ	-1
Агентство: в результате землетрясения в Непале погибли 120 человек	Число погибших от землетрясения в Непале превысило 1800	-1
"ОНЭКСИМ стал претендентом на акции ""Уралкалия""."	Михаил Прохоров готов к выборам в Мосгордуму.	-1
Боксеры из Узбекистана и Кубы стали претендентами на титул Поветкина.	ЕБРР пришел в Россию по двум статьям.	-1
"Выставка-ярмарка ""Книги России"" проедет по всей стране."	ЕЦБ: Предложение помощи Кипру остается в силе.	-1
В США несколько десятков рейсов задержаны из-за сбоя в iPad пилотов	Десятки рейсов задержаны в США из-за сбоя в приложении iPad у пилотов	1
Психолог: Россияне постоянно готовы к конфликту.	В России убыло любви к родине.	-1
Финляндия: Не можем рассматривать просьбу Э.Сноудена как запрос об убежище.	Экс-агент ЦРУ Эдвард Сноуден попросил политического убежища в России.	-1
Япония обошла Китай в списке крупнейших держателей ценных бумаг США	Япония опередила Китай в рейтинге держателей внешнего долга США	1
Минфин: Закон о налоге на недвижимость физических лиц готов.	Лекарство от убытков.	-1
Врачи успешно прооперировали раненого кандидата в президенты Армении.	На кандидата в президенты Армении совершено покушение.	-1
"""Билайн"" отказался от услуг ""Связного""."	«Протон-М» с тремя спутниками ГЛОНАСС взорвался после старта.	-1
В Госдуме предлагают запретить дистанционную продажу кредитных карт.	Депутаты предложили запретить дистанционную продажу кредиток.	1
Бен Аффлек удостоился награды Гильдии режиссеров США.	Главную награду Гильдии режиссеров США получил Бен Аффлек.	1
Россия экспортирует программное обеспечение на 5 млрд долл.	Экспорт российского ПО достиг 5 миллиардов долларов.	1
США готовы сократить ядерное вооружение вне зависимости от ответа РФ.	США предложат России вдвое сократить ядерное вооружение.	-1
В суд направлено уголовное дело по рубке пихты на сумму более 570 тыс рублей.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
"""Наши"" объявили, что им не по пути с В.Якеменко."	"СК намерен возбудить дело в отношении Пономарева о растрате в ""Сколково""."	-1
Прокурор: организована проверка из-за взрывов на полигоне под Ростовом	На полигоне под Ростовом после взрыва сгорело около 30 автомобилей	-1
Четыре человека погибли в Непале в результате землетрясения	Число жертв землетрясения в Непале превысило 800 человек	-1
Обвинение попросило суд смягчить приговор Сильвио Берлускони.	Прокурор попросил смягчить приговор Берлускони.	1
На границе России и Финляндии готовятся к массовому возврату туристов.	Пары вступают в игры.	-1
Etihad Airways первой из арабских компаний вышла на внутриевропейский рынок.	К фигуранту «болотного дела» второй день подряд не пустили «скорую».	-1
Легендарный исполнитель соул-музыки Бен Кинг скончался в США	Умер соул-исполнитель Бен Кинг	1
На Москву движется непогода: в регионе объявлено штормовое предупреждение.	В Подмосковье объявлено штормовое предупреждение.	1
Возле здания ГИБДД в Пятигорске взорвался автомобиль.	В Пятигорске у здания ГИБДД взорвался автомобиль.	1
Пан Ги Мун: вопрос о миротворцах на Украине решает СБ ООН	Пан Ги Мун напомнил Порошенко о порядке ввода миротворцев в Донбасс	-1
В каждой третьей компании сотрудники получат подарки к Новому году.	"""Зеленая"" энергия перетекает на развивающиеся рынки."	-1
При взрыве в Орле погиб один человек	СК: кустарное производство пиротехники - одна из причин взрыва в Орле	-1
"Москва готовится к ""народному сходу"" в поддержку А.Навального."	Мэра Рыбинска заподозрили в злоупотреблениях на 116 миллионов рублей.	-1
Концерт в честь победы Назарбаева на выборах начался в Астане	Путин поздравил Назарбаева с победой на выборах президента Казахстана	-1
Лукашенко сменил главу правительства	Александр Лукашенко сменил главу Нацбанка Белоруссии	-1
Взрыв на оружейном складе в Ливии унес жизни более 40 человек.	При взрыве на военном складе в Ливии погибли не менее 40 человек.	1
Дагестанская банда изготовила миллионы фальшивых рублей.	В Дагестане у банды изъяли два миллиарда фальшивых рублей.	-1
Число жертв землетрясения в Пакистане превысило 200 человек.	Количество жертв землетрясения в Пакистане выросло до 327 человек.	1
Минобороны собиралось закупить 44 тыс. контрафактных жилетов.	Согласно экспертизе, 44 тыс. изделий было пошито с нарушением авторских прав.	-1
В комитете по транспорту правительства Петербурга прошли обыски.	ФСБ обыскала комитет по транспорту Петербурга.	1
Лавров: Россия хочет, чтобы Украина оставалась единым государством	Лавров: Россия не откажется от поддержки соотечественников на Украине	-1
Георгий Маргвелашвили побеждает на выборах президента грузии.	Маргвелашвили сохранил лидерство на выборах президента Грузии.	1
Король Бельгии решил отречься от престола.	Король Бельгии решил объявить об отречении от престола.	1
Швейцарские музыканты отказались выступать с Жераром Депардье.	Швейцарский оркестр отказался выступать с Депардье.	1
Пожар на томской птицефабрике унес жизни двух человек.	При пожаре на томской птицефабрике погибли два человека.	1
"Путин проведет совещание по исполнению ""майских указов"" за три года"	Путин ответил на отчет правительства об исполнении 81% майских указов	-1
В ДНР пока не подтверждают встречу контактной группы в Минске 5 мая	Встреча Контактной группы в Минске пройдет до 9 мая	-1
Суд не стал сокращать время прогулок для Е.Васильевой.	Суд отказался сократить Васильевой время прогулок.	1
В Коми объявили трехдневный траур по жертвам взрыва на шахте.	В Коми объявлен траур по погибшим при взрыве шахтерам.	1
Президент Узбекистана: Уезжающие в Россию за куском хлеба - лентяи.	Узбекский президент обозвал гастарбайтеров лентяями.	1
В Нью-Йорке из-за непогоды отменили все авиарейсы.	Из-за снежной бури в Нью-Йорке отменили все авиарейсы.	1
Призер олимпиады по информатике взломал платежный терминал.	Призера олимпиады по информатике заподозрили во взломе платежного терминала в Иркутске.	-1
Российские машиностроители отказались от помощи государства.	Машиностроители отказались от субсидий.	1
Суд Ставрополья не стал отменять запрет на хиджабы в школах.	Ставропольский суд признал законным запрет на хиджабы в школах.	1
Рябков: решения по санкциям против Ирана не будут приняты в обход РФ	Рябков заявил о продвижении по вопросу снятия санкций с Ирана	-1
